Cultivos,Ciclos,No. Dias,(tas),(has),Eficiencia,Areas Cultivadas,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic,Eficiencia Riego,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic
Repollo,1 mar - 30 jun,120,47,2.94,60,1.76,,,82.32,83.71,117.53,40.13,,,,,,,0,0,1450.89,1475.39,2071.47,707.29,0,0,0,0,0,0,1,0,0,1450.89,1475.39,2071.47,707.29,0,0,0,0,0,0
Cilantro,1 feb - 15 may,105,820,51.25,40,20.5,,96.54,99.35,106.05,51.87,,,,,,,,0,19790.7,20366.75,21740.25,10633.35,0,0,0,0,0,0,0,1,0,19790.7,20366.75,21740.25,10633.35,0,0,0,0,0,0,0
Cilantro,1 mar - 15 jun,105,820,51.25,60,30.75,,,82.27,77.56,107.71,59.25,,,,,,,0,0,25298.03,23849.7,33120.83,18219.38,0,0,0,0,0,0,1,0,0,25298.03,23849.7,33120.83,18219.38,0,0,0,0,0,0
Otras Hortalizas,1 ene - 30 abr,120,2400,150,30,45,90.96,114.23,132.61,113.64,,,,,,,,,40932,51403.5,59674.5,51138,0,0,0,0,0,0,0,0,1,40932,51403.5,59674.5,51138,0,0,0,0,0,0,0,0
Otras Hortalizas,1 may - 31 ago,120,2400,150,30,45,,,,,56.25,93.23,132.76,111.14,,,,,0,0,0,0,25312.5,41953.5,59742,50013,0,0,0,0,1,0,0,0,0,25312.5,41953.5,59742,50013,0,0,0,0
Otras Hortalizas,1 sep - 31 dic,120,2400,150,40,60,,,,,,,,,21.35,29.38,85.73,122.79,0,0,0,0,0,0,0,0,12810,17628,51438,73674,1,0,0,0,0,0,0,0,0,12810,17628,51438,73674
Tabaco,1 nov - 31 dic,150,110,6.88,40,2.75,146.44,161.04,124.24,,,,,,,,23.65,98.84,4027.1,4428.6,3416.6,0,0,0,0,0,0,0,650.38,2718.1,1,4027.1,4428.6,3416.6,0,0,0,0,0,0,0,650.38,2718.1
Tabaco,1 dic - 31 dic,150,110,6.88,60,4.13,108.03,158.37,153.14,103.11,,,,,,,,61.4,4456.24,6532.76,6317.03,4253.29,0,0,0,0,0,0,0,2532.75,1,4456.24,6532.76,6317.03,4253.29,0,0,0,0,0,0,0,2532.75
Lechosa,1 abr - 31 dic,270,1412,88.25,40,35.3,,,,5.58,6.07,54.4,102.14,112.83,77.89,68.92,75.32,45.42,0,0,0,1969.74,2142.71,19203.2,36055.42,39828.99,27495.17,24328.76,26587.96,16033.26,1,0,0,0,1969.74,2142.71,19203.2,36055.42,39828.99,27495.17,24328.76,26587.96,16033.26
Lechosa,1 may - 31 ene,270,1412,88.25,60,52.95,104.83,,,,7.36,18.42,58.83,68.51,75.95,68.83,85.16,113.76,55507.49,0,0,0,3897.12,9753.39,31150.49,36276.05,40215.53,36445.49,45092.22,60235.92,1,55507.49,0,0,0,3897.12,9753.39,31150.49,36276.05,40215.53,36445.49,45092.22,60235.92
Melon,1 feb - 31 may,120,140,8.75,30,2.63,,58.53,107.3,116.5,51.56,,,,,,,,0,1536.41,2816.63,3058.13,1353.45,0,0,0,0,0,0,0,1,0,1536.41,2816.63,3058.13,1353.45,0,0,0,0,0,0,0
Melon,1 mar - 30 jun,120,140,8.75,40,3.5,,,46.57,86.83,118.67,105.36,,,,,,,0,0,1629.95,3039.05,4153.45,3687.6,0,0,0,0,0,0,1,0,0,1629.95,3039.05,4153.45,3687.6,0,0,0,0,0,0
Melon,1 abr - 31 jul,120,140,8.75,30,2.63,,,,11.65,86,135,110.31,,,,,,0,0,0,305.81,2257.5,3543.75,2895.64,0,0,0,0,0,1,0,0,0,305.81,2257.5,3543.75,2895.64,0,0,0,0,0
Mango,1 ene - 31 dic,365,2425,151.56,100,151.56,116.55,125.32,113.08,97.15,110.36,138.23,146.54,122.51,85.6,63.42,79.33,109.89,176646.09,189938.13,171386.88,147242.97,167264.38,209504.84,222099.69,185679.22,129737.5,96120.94,120234.53,166552.03,1,176646.09,189938.13,171386.88,147242.97,167264.38,209504.84,222099.69,185679.22,129737.5,96120.94,120234.53,166552.03
Pasto Natural,1 ene - 31 dic,365,13658,853.63,100,853.63,110.45,118.16,105.18,82.65,83.74,106.34,117.99,97.36,62.49,46.92,71.81,104.06,942828.81,1008643.3,897842.78,705521.06,714825.58,907744.83,1007192.14,831089.3,533430.26,400520.85,612988.11,888282.18,1,942828.81,1008643.3,897842.78,705521.06,714825.58,907744.83,1007192.14,831089.3,533430.26,400520.85,612988.11,888282.18
