Cultivos,Ciclos,No. Dias,(tas),(has),Eficiencia,Areas Cultivadas,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic,Eficiencia Riego,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic
Berenjena,1 mar - 10 jun,100,972,60.75,40,24.30,,,66.52,70.52,115.69,132.05,39.88,,,,,,0.00,0.00,"16,164.36","17,136.36","28,112.67","32,088.15","9,690.84",0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,"16,164.36","17,136.36","28,112.67","32,088.15","9,690.84",0.00,0.00,0.00,0.00,0.00
Berenjena,1 abr - 10 jul,100,972,60.75,60,36.45,,,,39.89,69.76,131.93,135.26,35.17,,,,,0.00,0.00,0.00,"14,539.91","25,427.52","48,088.49","49,302.27","12,819.47",0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,"14,539.91","25,427.52","48,088.49","49,302.27","12,819.47",0.00,0.00,0.00,0.00
Remolacha,1 feb - 30 abr,100,42,2.63,50,1.31,,51.04,73.63,118.62,39.58,,,,,,,,0.00,669.90,966.39,"1,556.89",519.49,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,669.90,966.39,"1,556.89",519.49,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Remolacha,1 mar - 30 may,100,42,2.63,50,1.31,,,23.08,72.95,134.95,43.32,,,,,,,0.00,0.00,302.93,957.47,"1,771.22",568.58,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,302.93,957.47,"1,771.22",568.58,0.00,0.00,0.00,0.00,0.00,0.00
Pepino,1 mar - 15 abr,45,125,7.81,40,3.13,,,68.30,77.16,108.52,30.65,,,,,,,0.00,0.00,"2,134.38","2,411.25","3,391.25",957.81,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,"2,134.38","2,411.25","3,391.25",957.81,0.00,0.00,0.00,0.00,0.00,0.00
Pepino,1 abr - 15 may,45,125,7.81,60,4.69,,,,41.80,76.79,124.70,34.49,,,,,,0.00,0.00,0.00,"1,959.38","3,599.53","5,845.31","1,616.72",0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,"1,959.38","3,599.53","5,845.31","1,616.72",0.00,0.00,0.00,0.00,0.00
Auyama,1 abr - 31 ago,150,"1,240",77.50,20,15.50,,,,5.68,34.20,124.64,136.91,84.93,,,,,0.00,0.00,0.00,880.40,"5,301.00","19,319.20","21,221.05","13,164.15",0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,880.40,"5,301.00","19,319.20","21,221.05","13,164.15",0.00,0.00,0.00,0.00
Auyama,1 may - 30 sep,150,"1,240",77.50,30,23.25,,,,,2.36,48.71,127.42,113.43,51.13,,,,0.00,0.00,0.00,0.00,548.70,"11,325.08","29,625.15","26,372.48","11,887.73",0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,548.70,"11,325.08","29,625.15","26,372.48","11,887.73",0.00,0.00,0.00
Auyama,1 sep - 31 ene,150,"1,240",77.50,20,15.50,112.50,,,,,,,,0.00,0.00,81.86,124.50,"17,437.50",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"12,688.30","19,297.50",1.00,"17,437.50",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"12,688.30","19,297.50"
Auyama,1 oct - 28 feb,150,"1,240",77.50,30,23.25,134.86,121.43,,,,,,,,0.00,28.50,118.02,"31,354.95","28,232.48",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"6,626.25","27,439.65",1.00,"31,354.95","28,232.48",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"6,626.25","27,439.65"
